
7992	1416	5473	295	646
4631	7680	1104	5093	638
3300	447	8109	8370	4051
718	6648	7346	664	4360
3761	2435	9566	6948	9764
2259	3948	5947	8915	3310
8720	1566	4460	1364	7935
638	9821	4579	7238	800
1823	1592	2517	7662	3724
7801	7926	4297	9926	7197
119	6046	2771	7839	7665
1713	866	3276	1494	3673
1192	777	2412	8934	5139
2578	5254	596	4364	4396
9064	4914	3795	5493	28
8268	6841	7084	4709	9332
2716	7608	3853	5453	4346
7277	1126	1623	6392	3678
3918	5500	777	7400	6472
3036	2543	412	5040	8398
7189	8408	9956	5689	1910
6841	5969	2856	7144	8336
519	2365	8058	1391	3251
1735	9500	1501	4482	8387
8331	9468	6083	6205	1474
475	4267	8435	1789	3971
1055	9817	975	9050	6955
5681	6560	3620	8014	2134
7078	1745	208	2967	2235
2964	1174	8348	5789	8871
3632	2273	6831	6967	4878
9898	3676	4863	3768	1697
3914	8632	6294	3152	9588
915	9994	7129	3989	7153
6344	3652	1256	3364	5928
4659	4874	4730	8966	8844
5330	131	9643	3805	3354
7795	1042	3595	103	8963
2210	1735	4066	4230	1454
3024	3568	1761	9381	9489
8891	1861	2521	1060	3447
6142	9492	5760	1577	3314
312	5074	286	7328	2543
5929	9746	2293	7740	3846
6970	3120	2731	6850	5013
8628	7412	6080	8956	6762
6435	2442	3519	4176	3463
3639	7643	7147	5988	2880
2984	8818	7602	3414	6752
7277	9038	2349	5943	1477
4305	8745	4507	3347	6617
6586	4497	8943	330	2128
9385	9726	1543	1246	8534
7166	9408	4634	340	3428
5395	1499	2	692	4043
8756	5019	4343	5661	5044
2994	2332	7720	2048	7268
1955	422	5396	6995	7557
8248	9641	4283	9271	9522
91	1463	1373	1068	6128
5309	9204	371	3629	9837
5652	154	3426	7827	1959
4326	5345	3718	6932	4102
8173	9282	7864	5921	6262
9273	3974	4590	835	5075
2137	3353	6247	9992	5531
4243	5321	7309	4693	7083
1440	3716	1879	3916	2025
6735	226	6084	1713	1412
3977	4875	289	1946	8857
6055	9885	7720	7563	6999
6808	6358	5481	963	9127
4323	962	1392	5837	2296
8050	8151	9451	2318	2548
3080	1197	8346	8352	1172
4492	2513	6107	9339	8673
6727	3006	6081	3817	1581
188	4750	5676	6954	4464
9313	6438	1246	3396	4144
3212	5644	5564	2882	9225
304	878	2440	725	9148
307	7566	7701	3085	3523
4980	4085	4188	1751	1414
2815	1566	5610	2259	4132
6711	1466	5369	5665	648
7425	3761	2869	7249	6705
9157	203	1605	5153	3212
5094	1543	1482	5857	1332
5696	8251	9305	2196	8550
993	3233	9241	2720	4533
7953	8940	1717	27	6428
3945	1690	1150	2675	5916
7325	3981	5116	5862	2642
1727	5419	9443	9551	361
7989	3720	9188	5649	6652
4515	8314	2589	8925	7244
383	6507	2896	411	3467
7328	621	9939	5018	7317
2370	9191	1942	3167	195
7366	7371	6472	7448	7815
4369	5700	4855	1069	8176
3745	3250	4357	6102	8339
155	5459	3309	9596	1622
6085	1061	1910	4129	4310
6986	5754	5196	3593	4056
3785	1406	7300	7281	5255
3634	6555	1763	273	5783
8574	8032	4517	1017	7475
7262	4326	4142	4407	5077
3384	6101	6858	3773	6984
9555	3219	8457	4077	2305
7453	7265	7678	4663	8404
3678	844	7560	4677	6590
2045	4291	1132	2297	789
5222	7209	7386	9728	422
5527	3214	133	9628	3710
2113	4401	2486	1986	6558
8889	3159	2580	6660	59
9835	5558	6453	5981	3367
3194	4714	2888	3243	6423
1289	9428	5382	1561	7648
8960	2381	1430	992	9926
238	8054	3656	2424	1258
7844	9047	2809	591	321
1567	3380	8146	7760	3443
8474	7913	4508	8110	7887
4565	9163	7722	8847	9907
42	9826	1542	6209	8390
988	2273	9570	4649	5015
7884	1069	226	5221	273
7036	4964	633	9309	7163
8310	2910	9125	7452	7146
8389	164	6089	9632	7064
3269	7134	2479	7811	4502
5774	8238	9875	7880	9066
7987	8914	1122	8529	7725
7197	8276	1105	259	8388
458	3277	2513	1863	1554
5846	7778	9634	1563	3131
8041	800	782	2082	2799
6752	6381	9630	1302	2698
4469	6181	8201	1331	6382
3096	6857	8429	5307	2715
634	9149	9065	3223	2759
4254	773	6706	5547	4386
2536	9096	8136	3418	8158
4199	4980	8546	5830	2856
23	3911	7905	3888	8732
4087	5830	7507	1419	7623
8622	7030	9922	1389	1898
7806	8041	4770	5669	9165
9722	13	4966	6529	1160
97	2412	796	2235	7186
6336	7646	2523	7162	7564
5325	8391	1068	8022	6468
7652	4414	4464	164	7063
9496	3453	3497	5298	785
4473	6838	9213	418	5428
9936	6960	5898	9581	2145
672	1528	1452	6262	9468
1132	3937	8552	3415	8440
3673	1827	8114	4597	8481
5918	1700	7614	7995	5900
2469	3037	5018	8328	9538
2489	8622	3680	1260	1024
4809	8896	3338	4747	7204
4288	5048	7754	2595	212
6855	3713	977	4980	4588
1902	2674	8409	7194	7296
5974	9657	8236	5547	4434
2390	1522	3236	5491	1611
7242	5898	5209	9305	4114
1990	8859	4084	4402	787
6834	1419	7432	4215	7526
6963	9720	9527	6430	6497
9339	2847	9858	5032	7138
8429	9539	3710	8363	3689
3789	6485	8244	4910	1287
6952	8484	1996	670	6902
7223	4537	855	1657	9751
5454	7692	3526	1231	5109
2418	7289	2091	3703	5988
1254	6023	5221	9028	7830
9272	5706	6971	1280	6805
8925	131	8868	9356	3752
7551	4634	9521	6506	8682
2726	5229	9566	2677	4854
8677	9862	3453	2992	4264
7916	2616	1507	3048	4452
2513	280	1073	368	5667
2884	7729	6586	896	777
6424	9137	6487	1862	9237
3840	4624	8489	6597	8536
4824	1747	1884	5226	2866
1395	9608	6717	6166	688
5097	4282	4307	1430	3746
3838	100	7570	3644	1173
1853	6725	935	4126	1321
9737	667	6742	3035	1140
4139	1828	3599	4093	1912
3326	7677	6762	5751	6625
3243	564	1198	824	5738
143	9300	6746	989	8858
8222	2381	1541	8213	207
7007	3993	9179	4632	5252
6119	4005	6479	6531	4436
8836	3037	1832	5622	9611
6324	1661	6943	763	30
680	8828	3049	107	9110
7911	7459	1429	8262	5785
3987	164	307	709	6710
2970	9653	901	1354	3285
660	8453	5239	3807	5511
6114	2847	3302	8013	3769
379	9417	5653	6056	2226
4718	2018	1265	6694	6694
6936	2430	6366	9692	2158
498	9085	8489	936	599
5916	9261	7313	578	1725
924	8316	5740	8649	3616
9541	9945	6270	1624	8170
5182	2637	5463	3186	4016
5526	1565	3637	79	9372
5258	2238	7403	9313	8168
5382	6887	53	7272	108
2846	574	7235	2876	5820
4133	5611	2886	3729	3902
5497	1060	4211	4989	2856
6467	9368	664	4305	3003
6231	4428	2827	9361	3044
1553	5143	8318	5282	7689
3605	7923	2222	5548	7948
271	4694	6099	2015	3179
9672	3522	7397	1903	2861
934	9687	1868	1357	8044
674	3688	9062	1184	8380
6734	3002	5117	7382	4804
7219	4237	582	3558	8968
4869	5039	5814	2865	4170
3692	9270	7988	4160	4639
5088	8185	4479	8951	6282
5005	2968	9537	5833	114
6612	7863	7219	9333	7466
851	7482	5687	2771	2555
6041	682	4435	3134	3082
6142	4329	5690	1976	360
6195	7183	7618	1139	8348
4745	5975	789	2999	9174
6835	7092	8990	1460	2888
344	629	5591	8564	7023
7238	7906	345	4122	8071
3176	1183	2008	7713	4205
9490	2221	2504	3267	9047
5626	7015	8486	3460	2941
6037	6096	2927	9511	8174
456	3307	3030	503	4964
3351	9655	7642	3793	5037
7581	5168	7229	8234	9067
2808	9018	2821	785	3405
6069	7476	7172	753	1
9369	6715	8639	1035	8077
2714	2525	4033	1823	6697
6277	8562	2793	5486	8928
4969	5370	8537	2592	4730
5366	9129	8891	5715	6960
2001	6699	2236	8190	2167
18	9294	1650	6027	6124
9690	4488	5933	2070	7745
6161	7920	715	2702	260
9021	9446	6008	5460	8080
7557	8906	9525	9847	2292
9288	7973	2082	9455	3452
1983	458	1448	4662	2577
7927	430	4136	2314	6020
3622	2469	8650	5026	7975
2667	8534	6855	996	9096
6558	7616	2844	5282	9057
2325	2828	2583	741	4255
